month,gtfs_route_id,headway_score
1,1,0.7287827932513772
1,43,0.5649427763477342
1,749,0.7883075858297552
1,751,0.7834750384402476
2,1,0.7250122683409789
2,43,0.5634849855049576
2,749,0.7870873641928691
2,751,0.7914064091228974
3,1,0.7159338769624237
3,43,0.5465324961033778
3,749,0.7921811048490911
3,751,0.784065153278914
4,1,0.68592446939667
4,43,0.5664646053043474
4,749,0.7852051423077577
4,751,0.7769554816717215
5,1,0.6821731608974613
5,43,0.5292474099975555
5,749,0.7738850988770256
5,751,0.7673002611459289
6,1,0.7260827032290732
6,43,0.5499484481844534
6,749,0.7747533683005406
6,751,0.7701206203467992
7,1,0.7256476679667696
7,43,0.5828734817732799
7,749,0.7655655212507686
7,751,0.7696154171139877
8,1,0.7299909705674857
8,43,0.5993777455022964
8,749,0.7679524706475586
8,751,0.7653688427198944
9,1,0.7182020857429109
9,43,0.4775570489284185
9,749,0.7479556145217565
9,751,0.750381589739349
10,1,0.728224400657106
10,43,0.477422267845349
10,749,0.7535148488873273
10,751,0.7578696872093955
11,1,0.7250593967231982
11,43,0.514505777837238
11,749,0.7653774648825321
11,751,0.7633218456075845
12,1,0.7462878358947611
12,43,0.5755373841858951
12,749,0.7803552438029465
12,751,0.7838486048575092
